FechaCompleta,IDTiempo,A̱o,Mes,Dia
2024-11-02,20241102,2024,11,2
2024-05-25,20240525,2024,5,25
2024-01-29,20240129,2024,1,29
2024-03-04,20240304,2024,3,4
2024-07-22,20240722,2024,7,22
2024-06-22,20240622,2024,6,22
2024-12-04,20241204,2024,12,4
2024-12-13,20241213,2024,12,13
2024-11-18,20241118,2024,11,18
2024-09-15,20240915,2024,9,15
2024-12-20,20241220,2024,12,20
2024-09-21,20240921,2024,9,21
2024-05-08,20240508,2024,5,8
2024-09-25,20240925,2024,9,25
2024-06-25,20240625,2024,6,25
2024-02-20,20240220,2024,2,20
2024-01-30,20240130,2024,1,30
2024-11-13,20241113,2024,11,13
2024-05-22,20240522,2024,5,22
2024-04-05,20240405,2024,4,5
2024-07-12,20240712,2024,7,12
2024-02-08,20240208,2024,2,8
2024-07-19,20240719,2024,7,19
2024-08-16,20240816,2024,8,16
2024-09-05,20240905,2024,9,5
2024-12-21,20241221,2024,12,21
2024-07-25,20240725,2024,7,25
2024-11-08,20241108,2024,11,8
2024-02-23,20240223,2024,2,23
2024-08-23,20240823,2024,8,23
2024-02-12,20240212,2024,2,12
2024-04-24,20240424,2024,4,24
2024-09-13,20240913,2024,9,13
2024-07-16,20240716,2024,7,16
2024-07-29,20240729,2024,7,29
2024-01-07,20240107,2024,1,7
2024-01-02,20240102,2024,1,2
2024-09-17,20240917,2024,9,17
2024-05-23,20240523,2024,5,23
2024-12-27,20241227,2024,12,27
2024-10-03,20241003,2024,10,3
2024-03-07,20240307,2024,3,7
2024-04-20,20240420,2024,4,20
2024-07-02,20240702,2024,7,2
2024-10-18,20241018,2024,10,18
2024-01-03,20240103,2024,1,3
2024-08-07,20240807,2024,8,7
2024-05-30,20240530,2024,5,30
2024-09-08,20240908,2024,9,8
2024-06-29,20240629,2024,6,29
2024-07-18,20240718,2024,7,18
2024-08-13,20240813,2024,8,13
2024-10-14,20241014,2024,10,14
2024-08-27,20240827,2024,8,27
2024-01-15,20240115,2024,1,15
2024-11-06,20241106,2024,11,6
2024-05-11,20240511,2024,5,11
2024-05-04,20240504,2024,5,4
2024-07-14,20240714,2024,7,14
2024-03-27,20240327,2024,3,27
2024-10-09,20241009,2024,10,9
2024-01-08,20240108,2024,1,8
2024-04-14,20240414,2024,4,14
2024-11-15,20241115,2024,11,15
2024-11-19,20241119,2024,11,19
2024-03-01,20240301,2024,3,1
2024-04-15,20240415,2024,4,15
2024-01-01,20240101,2024,1,1
2024-05-07,20240507,2024,5,7
2024-02-03,20240203,2024,2,3
2024-02-24,20240224,2024,2,24
2024-04-16,20240416,2024,4,16
2024-03-26,20240326,2024,3,26
2024-12-19,20241219,2024,12,19
2024-12-29,20241229,2024,12,29
2024-11-21,20241121,2024,11,21
2024-07-15,20240715,2024,7,15
2024-05-26,20240526,2024,5,26
2024-09-23,20240923,2024,9,23
2024-06-07,20240607,2024,6,7
2024-08-29,20240829,2024,8,29
2024-06-05,20240605,2024,6,5
2024-07-01,20240701,2024,7,1
2024-12-08,20241208,2024,12,8
2024-04-27,20240427,2024,4,27
2024-12-14,20241214,2024,12,14
2024-10-17,20241017,2024,10,17
2024-08-15,20240815,2024,8,15
2024-01-27,20240127,2024,1,27
2024-03-15,20240315,2024,3,15
2024-10-06,20241006,2024,10,6
2024-10-23,20241023,2024,10,23
2024-07-28,20240728,2024,7,28
2024-09-24,20240924,2024,9,24
2024-05-10,20240510,2024,5,10
2024-01-17,20240117,2024,1,17
2024-02-04,20240204,2024,2,4
2024-11-09,20241109,2024,11,9
2024-03-10,20240310,2024,3,10
2024-09-16,20240916,2024,9,16
2024-03-06,20240306,2024,3,6
2024-02-02,20240202,2024,2,2
2024-04-04,20240404,2024,4,4
2024-10-25,20241025,2024,10,25
2024-09-14,20240914,2024,9,14
2024-02-10,20240210,2024,2,10
2024-08-20,20240820,2024,8,20
2024-02-18,20240218,2024,2,18
2024-07-26,20240726,2024,7,26
2024-07-30,20240730,2024,7,30
2024-08-09,20240809,2024,8,9
2024-01-13,20240113,2024,1,13
2024-02-15,20240215,2024,2,15
2024-07-09,20240709,2024,7,9
2024-02-22,20240222,2024,2,22
2024-08-17,20240817,2024,8,17
2024-06-12,20240612,2024,6,12
2024-12-12,20241212,2024,12,12
2024-08-26,20240826,2024,8,26
2024-04-23,20240423,2024,4,23
2024-03-03,20240303,2024,3,3
2024-07-03,20240703,2024,7,3
2024-09-27,20240927,2024,9,27
2024-01-16,20240116,2024,1,16
2024-07-11,20240711,2024,7,11
2024-08-28,20240828,2024,8,28
2024-03-11,20240311,2024,3,11
2024-11-25,20241125,2024,11,25
2024-11-22,20241122,2024,11,22
2024-07-10,20240710,2024,7,10
2024-10-21,20241021,2024,10,21
2024-05-14,20240514,2024,5,14
2024-03-17,20240317,2024,3,17
2024-10-20,20241020,2024,10,20
2024-04-07,20240407,2024,4,7
2024-09-30,20240930,2024,9,30
2024-04-01,20240401,2024,4,1
2024-01-10,20240110,2024,1,10
2024-03-05,20240305,2024,3,5
2024-12-16,20241216,2024,12,16
2024-09-07,20240907,2024,9,7
2024-03-12,20240312,2024,3,12
2024-01-28,20240128,2024,1,28
2024-12-07,20241207,2024,12,7
2024-01-23,20240123,2024,1,23
2024-09-03,20240903,2024,9,3
2024-05-03,20240503,2024,5,3
2024-06-10,20240610,2024,6,10
2024-11-14,20241114,2024,11,14
2024-06-11,20240611,2024,6,11
2024-01-26,20240126,2024,1,26
2024-08-04,20240804,2024,8,4
2024-04-29,20240429,2024,4,29
2024-10-29,20241029,2024,10,29
2024-02-19,20240219,2024,2,19
2024-06-14,20240614,2024,6,14
2024-12-23,20241223,2024,12,23
2024-08-02,20240802,2024,8,2
2024-06-08,20240608,2024,6,8
2024-06-18,20240618,2024,6,18
2024-10-26,20241026,2024,10,26
2024-03-09,20240309,2024,3,9
2024-03-18,20240318,2024,3,18
2024-05-31,20240531,2024,5,31
2024-07-21,20240721,2024,7,21
2024-09-09,20240909,2024,9,9
2024-10-12,20241012,2024,10,12
2024-07-13,20240713,2024,7,13
2024-07-24,20240724,2024,7,24
2024-09-01,20240901,2024,9,1
2024-06-21,20240621,2024,6,21
2024-07-07,20240707,2024,7,7
2024-08-24,20240824,2024,8,24
2024-02-13,20240213,2024,2,13
2024-04-09,20240409,2024,4,9
2024-05-27,20240527,2024,5,27
2024-01-22,20240122,2024,1,22
2024-06-03,20240603,2024,6,3
2024-11-05,20241105,2024,11,5
2024-02-26,20240226,2024,2,26
2024-04-30,20240430,2024,4,30
2024-11-28,20241128,2024,11,28
2024-12-15,20241215,2024,12,15
2024-10-11,20241011,2024,10,11
2024-03-08,20240308,2024,3,8
2024-11-23,20241123,2024,11,23
2024-04-28,20240428,2024,4,28
2024-07-23,20240723,2024,7,23
2024-10-15,20241015,2024,10,15
2024-02-21,20240221,2024,2,21
2024-11-24,20241124,2024,11,24
2024-10-04,20241004,2024,10,4
2024-03-29,20240329,2024,3,29
2024-04-18,20240418,2024,4,18
2024-04-03,20240403,2024,4,3
2024-04-06,20240406,2024,4,6
2024-06-28,20240628,2024,6,28
2024-02-14,20240214,2024,2,14
2024-01-11,20240111,2024,1,11
2024-01-09,20240109,2024,1,9
2024-11-17,20241117,2024,11,17
2024-11-01,20241101,2024,11,1
2024-07-06,20240706,2024,7,6
2024-12-06,20241206,2024,12,6
2024-03-30,20240330,2024,3,30
2024-05-13,20240513,2024,5,13
2024-03-23,20240323,2024,3,23
2024-05-01,20240501,2024,5,1
2024-10-16,20241016,2024,10,16
2024-09-04,20240904,2024,9,4
2024-08-10,20240810,2024,8,10
2024-02-25,20240225,2024,2,25
2024-12-11,20241211,2024,12,11
2024-06-01,20240601,2024,6,1
2024-08-18,20240818,2024,8,18
2024-11-10,20241110,2024,11,10
2024-02-09,20240209,2024,2,9
2024-12-24,20241224,2024,12,24
2024-06-30,20240630,2024,6,30
2024-06-06,20240606,2024,6,6
2024-09-26,20240926,2024,9,26
2024-12-28,20241228,2024,12,28
2024-04-02,20240402,2024,4,2
2024-10-19,20241019,2024,10,19
2024-05-29,20240529,2024,5,29
2024-05-16,20240516,2024,5,16
2024-01-04,20240104,2024,1,4
2024-03-21,20240321,2024,3,21
2024-02-16,20240216,2024,2,16
2024-06-17,20240617,2024,6,17
2024-12-25,20241225,2024,12,25
2024-05-09,20240509,2024,5,9
2024-12-01,20241201,2024,12,1
2024-12-05,20241205,2024,12,5
2024-10-07,20241007,2024,10,7
2024-05-05,20240505,2024,5,5
2024-03-24,20240324,2024,3,24
2024-04-26,20240426,2024,4,26
2024-01-12,20240112,2024,1,12
2024-02-06,20240206,2024,2,6
2024-07-31,20240731,2024,7,31
2024-03-28,20240328,2024,3,28
2024-01-06,20240106,2024,1,6
2024-12-03,20241203,2024,12,3
2024-03-19,20240319,2024,3,19
2024-11-12,20241112,2024,11,12
2024-03-14,20240314,2024,3,14
2024-03-02,20240302,2024,3,2
2024-08-21,20240821,2024,8,21
2024-11-29,20241129,2024,11,29
2024-02-27,20240227,2024,2,27
2024-06-09,20240609,2024,6,9
2024-05-24,20240524,2024,5,24
2024-07-04,20240704,2024,7,4
2024-05-18,20240518,2024,5,18
2024-11-16,20241116,2024,11,16
2024-05-12,20240512,2024,5,12
2024-03-31,20240331,2024,3,31
2024-04-21,20240421,2024,4,21
